datetime,trashamount
2026-03-22T12:33:43.973772,42.0
2026-03-22T12:33:50.102909,42.0
2026-03-22T11:35:47.468491,20
2026-03-22T11:35:47.468491,20
2026-03-22T11:35:47.468491,20
2026-03-22T11:35:47.468491,10
2026-03-22T11:35:47.468491,12
2026-03-22T11:35:47.468491,5
2026-03-22T11:35:47.468491,9
2026-03-22T12:53:46.798287,9
2026-03-22T12:54:03.859547,11
2026-03-22T12:54:58.124786,7
2026-03-22T12:55:06.023042,12
2026-03-22T12:55:19.496166,12
2026-03-22T12:55:19.498164,12
2026-03-22T12:55:19.455870,7
2026-03-22T12:55:19.459368,11
2026-03-22T12:55:19.462369,10
2026-03-22T12:55:19.465870,9
2026-03-22T12:55:19.468869,8
2026-03-22T12:55:19.471869,13
2026-03-22T12:55:19.474869,10
2026-03-22T12:55:19.477370,12
2026-03-22T12:55:19.479870,13
2026-03-22T12:55:19.482666,5
2026-03-23T12:55:19.485164,12
2026-03-22T12:55:19.488164,10
2026-03-22T12:55:19.490664,11
2026-03-22T12:55:19.493667,11
2026-03-22T14:22:52.569027,10
2026-03-22T14:22:52.572025,9
2026-03-22T14:22:52.535526,7
2026-03-22T14:22:52.540026,12
2026-03-23T14:08:44.988118,9
2026-04-03T13:14:46.719467+00:00,8
2026-04-03T13:14:46.719771+00:00,11
2026-04-03T13:14:46.720184+00:00,10
2026-04-03T13:14:46.720490+00:00,9
2026-04-03T17:24:44.784515+00:00,14
2026-04-03T17:24:44.787486+00:00,10
2026-04-03T17:24:44.789042+00:00,9
2026-04-03T17:24:44.791272+00:00,9
2026-04-05T10:51:48.736051+00:00,6
2026-04-05T10:51:48.738485+00:00,11
2026-04-05T10:51:48.739868+00:00,11
2026-04-05T10:51:48.741620+00:00,11
2026-04-05T11:26:28.055355+00:00,0
2026-04-05T11:26:28.058178+00:00,1
2026-04-05T11:26:28.059558+00:00,1
2026-04-05T11:26:28.061292+00:00,0
2026-04-05T11:45:33.089129+00:00,0
2026-04-05T11:45:33.091753+00:00,1
2026-04-05T11:45:33.093136+00:00,1
2026-04-05T11:45:33.095784+00:00,0
2026-04-05T12:07:47.750480+00:00,0
2026-04-05T12:07:47.753366+00:00,1
2026-04-05T12:07:47.755884+00:00,0
2026-04-05T12:07:47.758266+00:00,0
2026-04-05T12:40:05.637954+00:00,1
2026-04-05T12:40:05.640529+00:00,0
2026-04-05T12:40:05.641895+00:00,0
2026-04-05T12:40:05.644026+00:00,0
2026-04-06T10:22:29.573874+00:00,0
2026-04-06T10:22:29.577296+00:00,0
2026-04-06T10:22:29.578568+00:00,2
2026-04-06T10:22:29.580643+00:00,0
2026-04-06T10:49:34.253381+00:00,0
2026-04-06T10:49:34.256623+00:00,0
2026-04-06T10:49:34.259805+00:00,3
2026-04-06T10:49:34.261883+00:00,0
2026-04-06T10:49:34.253381+00:00,0
2026-04-06T10:49:34.256623+00:00,0
2026-04-06T10:49:34.259805+00:00,0
2026-04-06T10:49:34.261883+00:00,0
2026-04-06T10:49:34.253381+00:00,0
2026-04-06T10:49:34.256623+00:00,0
2026-04-06T10:49:34.259805+00:00,1
2026-04-06T10:49:34.261883+00:00,0
2026-04-06T10:49:34.253381+00:00,0
2026-04-06T10:49:34.256623+00:00,1
2026-04-06T10:49:34.259805+00:00,1
2026-04-06T10:49:34.261883+00:00,0
2026-04-06T10:49:34.253381+00:00,0
2026-04-06T10:49:34.256623+00:00,1
2026-04-06T10:49:34.259805+00:00,1
2026-04-06T10:49:34.261883+00:00,0
2026-04-11T14:28:35.815395+00:00,28
2026-04-11T14:28:35.818049+00:00,32
2026-04-11T14:28:35.819181+00:00,27
2026-04-11T14:28:35.821105+00:00,6
2026-04-11T14:28:35.824975+00:00,16
2026-04-11T14:28:35.829160+00:00,20
2026-04-11T14:28:35.834034+00:00,25
2026-04-11T14:28:35.838747+00:00,0
2026-04-11T14:28:35.843087+00:00,0
2026-04-11T14:28:35.846740+00:00,0
2026-04-11T14:28:35.851502+00:00,8
2026-04-11T14:28:35.856017+00:00,0
2026-04-11T14:28:35.860964+00:00,0
2026-04-11T14:28:35.864275+00:00,9
2026-04-11T14:28:35.869065+00:00,16
2026-04-11T14:28:35.874397+00:00,7
2026-04-11T14:35:21.587693+00:00,26
2026-04-11T14:35:21.590608+00:00,24
2026-04-11T14:35:21.592224+00:00,24
2026-04-11T14:35:21.594135+00:00,9
2026-04-11T14:35:21.597993+00:00,19
2026-04-11T14:35:21.602174+00:00,27
2026-04-11T14:35:21.606343+00:00,20
2026-04-11T14:35:21.610605+00:00,0
2026-04-11T14:35:21.615142+00:00,0
2026-04-11T14:35:21.619179+00:00,0
2026-04-11T14:35:21.623993+00:00,7
2026-04-11T14:35:21.628347+00:00,0
2026-04-11T14:35:21.632788+00:00,0
2026-04-11T14:35:21.636108+00:00,6
2026-04-11T14:35:21.640739+00:00,10
2026-04-11T14:35:21.645288+00:00,11
2026-04-17T08:39:06.400150+00:00,24
2026-04-17T08:39:06.405325+00:00,30
2026-04-17T08:39:06.406773+00:00,22
2026-04-17T08:39:06.408831+00:00,8
2026-04-17T08:39:06.413087+00:00,19
2026-04-17T08:39:06.417141+00:00,15
2026-04-17T08:39:06.422368+00:00,25
2026-04-17T08:39:06.427136+00:00,0
2026-04-17T08:39:06.432961+00:00,0
2026-04-17T08:39:06.437406+00:00,0
2026-04-17T08:39:06.442247+00:00,5
2026-04-17T08:39:06.446781+00:00,0
2026-04-17T08:39:06.451123+00:00,0
2026-04-17T08:39:06.454327+00:00,9
2026-04-17T08:39:06.459287+00:00,14
2026-04-17T08:39:06.463637+00:00,12
2026-04-17T08:39:06.400150+00:00,19
2026-04-17T08:39:06.405325+00:00,25
2026-04-17T08:39:06.406773+00:00,29
2026-04-17T08:39:06.408831+00:00,9
2026-04-17T08:39:06.413087+00:00,18
2026-04-17T08:39:06.417141+00:00,21
2026-04-17T08:39:06.422368+00:00,27
2026-04-17T08:39:06.427136+00:00,0
2026-04-17T08:39:06.432961+00:00,0
2026-04-17T08:39:06.437406+00:00,0
2026-04-17T08:39:06.442247+00:00,8
2026-04-17T08:39:06.446781+00:00,0
2026-04-17T08:39:06.451123+00:00,0
2026-04-17T08:39:06.454327+00:00,6
2026-04-17T08:39:06.459287+00:00,17
